Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,30/01/20,6:00 PM,Kerala,1,0,0,0,1
2,02/02/20,9:00 AM,Kerala,2,0,0,0,2
3,03/03/20,6:00 PM,Kerala,3,0,0,0,3
4,04/03/20,9:00 AM,Kerala,4,0,0,0,4
5,05/03/20,6:00 PM,Kerala,5,0,0,0,5
6,09/03/20,9:00 AM,Uttar Pradesh,1,0,0,0,1
7,10/03/20,6:00 PM,Rajasthan,1,1,0,0,2
8,11/03/20,9:00 AM,Delhi,6,1,0,0,7
9,12/03/20,6:00 PM,Telangana,0,1,0,0,1
10,13/03/20,9:00 AM,Haryana,14,14,0,0,28
11,14/03/20,6:00 PM,Maharashtra,14,0,0,0,14
12,15/03/20,9:00 AM,Karnataka,6,0,0,0,6
13,20/03/20,6:00 PM,Tamil Nadu,6,0,0,0,6
14,21/03/20,9:00 AM,Gujarat,3,0,0,0,3
15,22/03/20,6:00 PM,Punjab,2,0,0,0,2
16,25/03/20,9:00 AM,West Bengal,4,0,0,0,4
17,26/03/20,6:00 PM,Madhya Pradesh,6,0,0,1,6
18,27/03/20,9:00 AM,Andhra Pradesh,5,0,0,0,5
19,28/03/20,6:00 PM,Bihar,3,0,0,0,3
20,29/03/20,9:00 AM,Odisha,2,0,0,0,2
21,01/04/20,9:00 AM,Maharashtra,490,0,42,24,490
22,01/04/20,9:00 AM,Delhi,219,0,8,4,219
23,01/04/20,9:00 AM,Tamil Nadu,234,0,6,1,234
24,01/04/20,9:00 AM,Rajasthan,179,2,16,0,179
25,01/04/20,9:00 AM,Telangana,158,3,22,7,158
26,01/04/20,9:00 AM,Kerala,241,0,34,2,241
27,01/04/20,9:00 AM,Uttar Pradesh,172,0,18,2,172
28,01/04/20,9:00 AM,Andhra Pradesh,132,0,1,1,132
29,01/04/20,9:00 AM,Gujarat,122,0,17,11,122
30,01/04/20,9:00 AM,Karnataka,110,0,12,3,110
31,01/05/20,9:00 AM,Maharashtra,14541,0,2465,583,14541
32,01/05/20,9:00 AM,Gujarat,5804,0,1514,327,5804
33,01/05/20,9:00 AM,Delhi,3738,0,1171,61,3738
34,01/05/20,9:00 AM,Rajasthan,2876,4,1598,66,2876
35,01/05/20,9:00 AM,Madhya Pradesh,2942,0,1042,166,2942
36,01/05/20,9:00 AM,Tamil Nadu,2885,0,1411,33,2885
37,01/05/20,9:00 AM,Uttar Pradesh,2645,3,862,46,2645
38,01/05/20,9:00 AM,Telangana,1063,14,677,28,1063
39,01/05/20,9:00 AM,Andhra Pradesh,1583,0,587,33,1583
40,01/05/20,9:00 AM,West Bengal,795,0,152,25,795
41,01/06/20,9:00 AM,Maharashtra,74860,0,32595,2587,74860
42,01/06/20,9:00 AM,Tamil Nadu,22333,0,13989,174,22333
43,01/06/20,9:00 AM,Delhi,22132,0,11861,556,22132
44,01/06/20,9:00 AM,Gujarat,17632,0,12455,1063,17632
45,01/06/20,9:00 AM,Uttar Pradesh,9237,3,5518,253,9237
46,01/06/20,9:00 AM,Rajasthan,8831,4,6606,196,8831
47,01/06/20,9:00 AM,Madhya Pradesh,8283,0,5421,358,8283
48,01/06/20,9:00 AM,West Bengal,5501,0,2407,245,5501
49,01/06/20,9:00 AM,Andhra Pradesh,3563,0,2263,60,3563
50,01/06/20,9:00 AM,Bihar,3870,0,1746,22,3870
51,01/07/20,9:00 AM,Maharashtra,186626,0,100408,8178,186626
52,01/07/20,9:00 AM,Tamil Nadu,95394,0,60023,1271,95394
53,01/07/20,9:00 AM,Delhi,89802,0,71339,2803,89802
54,01/07/20,9:00 AM,Gujarat,36306,0,27048,1925,36306
55,01/07/20,9:00 AM,Uttar Pradesh,29192,3,19285,835,29192
56,01/07/20,9:00 AM,Telangana,22531,14,15558,308,22531
57,01/07/20,9:00 AM,Andhra Pradesh,19754,0,13049,230,19754
58,01/07/20,9:00 AM,Karnataka,17051,0,9555,275,17051
59,01/07/20,9:00 AM,West Bengal,19170,0,13229,706,19170
60,01/07/20,9:00 AM,Rajasthan,17083,4,13851,393,17083
61,01/08/20,9:00 AM,Maharashtra,440386,0,297081,15842,440386
62,01/08/20,9:00 AM,Andhra Pradesh,195942,0,126498,1759,195942
63,01/08/20,9:00 AM,Tamil Nadu,257613,0,218272,4190,257613
64,01/08/20,9:00 AM,Karnataka,177624,0,104685,3233,177624
65,01/08/20,9:00 AM,Delhi,140232,0,127882,4044,140232
66,01/08/20,9:00 AM,Uttar Pradesh,103566,3,65840,1857,103566
67,01/08/20,9:00 AM,West Bengal,73437,0,54789,1627,73437
68,01/08/20,9:00 AM,Bihar,57933,0,42034,320,57933
69,01/08/20,9:00 AM,Telangana,78138,14,60295,622,78138
70,01/08/20,9:00 AM,Gujarat,63048,0,49648,2567,63048
71,01/09/20,9:00 AM,Maharashtra,933596,0,751892,26604,933596
72,01/09/20,9:00 AM,Andhra Pradesh,519724,0,442155,4668,519724
73,01/09/20,9:00 AM,Tamil Nadu,469957,0,424388,7862,469957
74,01/09/20,9:00 AM,Karnataka,373609,0,280929,6240,373609
75,01/09/20,9:00 AM,Uttar Pradesh,244628,3,196434,3568,244628
76,01/09/20,9:00 AM,Delhi,186999,0,171893,4640,186999
77,01/09/20,9:00 AM,West Bengal,179818,0,156524,3406,179818
78,01/09/20,9:00 AM,Bihar,152066,0,135906,769,152066
79,01/09/20,9:00 AM,Telangana,144744,14,121965,910,144744
80,01/09/20,9:00 AM,Odisha,131785,0,110069,628,131785
81,01/10/20,9:00 AM,Maharashtra,1464643,0,1355087,38717,1464643
82,01/10/20,9:00 AM,Andhra Pradesh,728377,0,691491,6072,728377
83,01/10/20,9:00 AM,Karnataka,625317,0,549967,9394,625317
84,01/10/20,9:00 AM,Tamil Nadu,613786,0,572291,9637,613786
85,01/10/20,9:00 AM,Uttar Pradesh,401990,3,359131,5796,401990
86,01/10/20,9:00 AM,Delhi,289976,0,268468,5584,289976
87,01/10/20,9:00 AM,Kerala,186085,0,130527,674,186085
88,01/10/20,9:00 AM,West Bengal,283645,0,253617,5332,283645
89,01/10/20,9:00 AM,Odisha,227098,0,199843,920,227098
90,01/10/20,9:00 AM,Rajasthan,166884,4,142613,1819,166884
91,01/11/20,9:00 AM,Maharashtra,1672630,0,1571843,43960,1672630
92,01/11/20,9:00 AM,Karnataka,793487,0,753093,11029,793487
93,01/11/20,9:00 AM,Andhra Pradesh,826850,0,810791,6672,826850
94,01/11/20,9:00 AM,Tamil Nadu,730559,0,710261,11224,730559
95,01/11/20,9:00 AM,Uttar Pradesh,493385,3,469745,7149,493385
96,01/11/20,9:00 AM,Delhi,403096,0,372413,6703,403096
97,01/11/20,9:00 AM,Kerala,445058,0,381780,1519,445058
98,01/11/20,9:00 AM,West Bengal,380492,0,357125,6767,380492
99,01/11/20,9:00 AM,Rajasthan,204693,4,188481,2014,204693
100,01/11/20,9:00 AM,Odisha,284707,0,272768,1452,284707
