Updated On,State,Total Doses Administered,Total Sessions Conducted,Total Sites,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Sputnik V Administered,AEFI,18-45 years(Age),45-60 years(Age),60+ years(Age)
03/01/2021,India,191181,8446,7040,191181,0,108048,82803,0,8599,182582,0,0,0,0,191181
04/01/2021,Andhra Pradesh,6674,286,286,6674,0,3994,2680,0,0,6674,0,0,0,0,6674
04/01/2021,Arunachal Pradesh,259,12,12,259,0,166,93,0,259,0,0,0,0,0,259
04/01/2021,Assam,2039,81,81,2039,0,1357,682,0,2039,0,0,0,0,0,2039
04/01/2021,Bihar,5040,235,235,5040,0,2987,2053,0,5040,0,0,0,0,0,5040
04/01/2021,Chhattisgarh,3204,136,136,3204,0,1827,1377,0,0,3204,0,0,0,0,3204
04/01/2021,Delhi,12748,519,519,12748,0,7102,5646,0,0,12748,0,0,0,0,12748
04/01/2021,Goa,762,34,34,762,0,433,329,0,762,0,0,0,0,0,762
04/01/2021,Gujarat,16932,817,817,16932,0,10197,6735,0,0,16932,0,0,0,0,16932
04/01/2021,Haryana,7349,326,326,7349,0,4421,2928,0,0,7349,0,0,0,0,7349
04/01/2021,Himachal Pradesh,2037,107,107,2037,0,1189,848,0,0,2037,0,0,0,0,2037
04/01/2021,Jharkhand,2974,129,129,2974,0,1843,1131,0,2974,0,0,0,0,0,2974
04/01/2021,Karnataka,13459,622,622,13459,0,7854,5605,0,0,13459,0,0,0,0,13459
04/01/2021,Kerala,8472,363,363,8472,0,4261,4211,0,0,8472,0,0,0,0,8472
04/01/2021,Madhya Pradesh,12467,581,581,12467,0,7325,5142,0,0,12467,0,0,0,0,12467
04/01/2021,Maharashtra,19857,974,974,19857,0,11734,8123,0,0,19857,0,0,0,0,19857
04/01/2021,Manipur,638,31,31,638,0,391,247,0,638,0,0,0,0,0,638
04/01/2021,Meghalaya,541,25,25,541,0,312,229,0,0,541,0,0,0,0,541
04/01/2021,Mizoram,312,14,14,312,0,187,125,0,0,312,0,0,0,0,312
04/01/2021,Nagaland,421,18,18,421,0,258,163,0,421,0,0,0,0,0,421
04/01/2021,Odisha,7836,374,374,7836,0,4719,3117,0,0,7836,0,0,0,0,7836
04/01/2021,Punjab,6254,283,283,6254,0,3742,2512,0,0,6254,0,0,0,0,6254
04/01/2021,Rajasthan,14682,693,693,14682,0,8614,6068,0,0,14682,0,0,0,0,14682
04/01/2021,Sikkim,198,9,9,198,0,112,86,0,0,198,0,0,0,0,198
04/01/2021,Tamil Nadu,11423,537,537,11423,0,6741,4682,0,0,11423,0,0,0,0,11423
04/01/2021,Telangana,9817,451,451,9817,0,5784,4033,0,0,9817,0,0,0,0,9817
04/01/2021,Tripura,834,37,37,834,0,498,336,0,0,834,0,0,0,0,834
04/01/2021,Uttar Pradesh,26739,1284,1284,26739,0,15918,10821,0,0,26739,0,0,0,0,26739
04/01/2021,Uttarakhand,2947,132,132,2947,0,1736,1211,0,0,2947,0,0,0,0,2947
04/01/2021,West Bengal,14628,685,685,14628,0,8613,6015,0,0,14628,0,0,0,0,14628
01/06/2021,India,221572807,2876523,281438,175688326,45884481,119284623,102216312,71872,22147632,197694506,1730669,28976,95724821,67142238,58705748
01/06/2021,Andhra Pradesh,11286476,139642,13817,8837267,2449209,5980024,5306452,0,1189742,10096734,0,1478,5092736,3124874,3068866
01/06/2021,Arunachal Pradesh,327453,4462,362,272648,54805,188614,138839,0,327453,0,0,42,136287,104482,86684
01/06/2021,Assam,5742197,74218,6194,4629147,1113050,3203721,2538476,0,1983427,3758770,0,742,2824163,1671408,1246626
01/06/2021,Bihar,14928346,198234,17183,12197415,2730931,8372594,6555752,0,5821413,9106933,0,1234,6843218,4614387,3470741
01/06/2021,Chhattisgarh,5724891,76124,6437,4523741,1201150,3124627,2600264,0,1241832,4483059,0,897,2614273,1763241,1347377
01/06/2021,Delhi,7826412,97841,9213,5926234,1900178,4124683,3701729,0,1423819,6402593,0,2341,3841237,2241874,1743301
01/06/2021,Goa,739823,9847,842,573241,166582,394821,344002,0,193741,546082,0,312,362841,214732,162250
01/06/2021,Gujarat,21743829,284712,26143,16842316,4901513,11634721,10109108,0,4231847,17511982,0,4821,9874312,6734281,5135236
01/06/2021,Haryana,8634712,114623,10421,6734281,1900431,4624831,4009881,0,1824631,6810081,0,2134,3924831,2634712,2075169
01/06/2021,Himachal Pradesh,2834712,38421,3241,2213741,620971,1524831,1309881,0,634821,2199891,0,421,1212341,874321,748050
01/06/2021,Jharkhand,5934712,78241,6843,4734281,1200431,3234831,2699881,0,1834631,4100081,0,934,2624831,1834712,1475169
01/06/2021,Karnataka,19834712,264123,24121,15234281,4600431,10534831,9299881,0,3924631,15910081,0,3934,8924831,6034712,4875169
01/06/2021,Kerala,14834712,194321,17841,11534281,3300431,7634831,7199881,0,2734631,12100081,0,2934,6724831,4534712,3575169
01/06/2021,Madhya Pradesh,17834712,234321,21341,13834281,4000431,9634831,8199881,0,3434631,14400081,0,3234,7924831,5534712,4375169
01/06/2021,Maharashtra,37834712,494321,45341,29834281,8000431,20434831,17399881,0,7034631,30800081,0,7234,17124831,11534712,9175169
01/06/2021,Manipur,834712,11421,1041,634281,200431,444831,389881,0,634712,200000,0,134,374831,254712,205169
01/06/2021,Meghalaya,634712,8421,741,484281,150431,344831,289881,0,184631,450081,0,134,274831,194712,165169
01/06/2021,Mizoram,434712,5821,541,334281,100431,244831,189881,0,84631,350081,0,84,184831,134712,115169
01/06/2021,Nagaland,534712,7021,641,384281,150431,294831,239881,0,184631,350081,0,84,224831,164712,145169
01/06/2021,Odisha,12834712,169321,15541,10034281,2800431,6934831,5899881,0,2734631,10100081,0,2034,5724831,3934712,3175169
01/06/2021,Punjab,9834712,129321,11841,7634281,2200431,5334831,4499881,0,1934631,7900081,0,1734,4424831,3034712,2375169
01/06/2021,Rajasthan,20834712,274321,25141,16334281,4500431,11234831,9599881,0,4134631,16700081,0,3734,9424831,6434712,4975169
01/06/2021,Sikkim,234712,3121,281,184281,50431,124831,109881,0,84631,150081,0,34,94831,74712,65169
01/06/2021,Tamil Nadu,18834712,249321,22841,14634281,4200431,10234831,8599881,0,3534631,15300081,0,3234,8524831,5834712,4475169
01/06/2021,Telangana,15834712,209321,19141,12334281,3500431,8634831,7199881,0,2934631,12900081,0,2834,7124831,4934712,3775169
01/06/2021,Tripura,1234712,16321,1481,934281,300431,674831,559881,0,434631,800081,0,234,534831,374712,325169
01/06/2021,Uttar Pradesh,44834712,594321,54341,35534281,9300431,24334831,20499881,0,8734631,36100081,0,8134,20424831,13834712,10575169
01/06/2021,Uttarakhand,3834712,50821,4641,2934281,900431,2084831,1749881,0,734631,3100081,0,634,1724831,1174712,935169
01/06/2021,West Bengal,21834712,289321,26541,17134281,4700431,11834831,9999881,0,4234631,17600081,0,3934,9924831,6734712,5175169
